A6017 Denton Road, Jct Stamford Road, Tameside
A627 Clark Way, M67 slip Road, Hyde
A627 King Street, Jct Astley Street, Dukinfield
A627 Oldham Road, Jct Wilshaw Lane, Ashton-Under-Lyne
A635 Manchester Road, Jct Ashton Hill Lane, Tameside
A635 Manchester Road, Jct Ashton Hill Lane, Tameside
A627 King Street, South of Pickford Lane, Dukinfield
A627 Oldham Road, Tree House Avenue, Tameside
A5145 Edge Lane, Jct Chester Road, Stretford
A5181 Barton Road, Jct Kingsway, Stretford
A56 Cross St, Jct Dane Road, Sale
A56 Manchester Road, Woodcote Road, Trafford
A56 Washway Road, Jct Sibson Road, Sale
A56 Chester Road,   Cavendish Road, Stretford
A56 Chester Road,   Cavendish Road, Stretford
A56 Cross Street,   Elm Grove, Sale
A56 Dunham Road,   Bow Green Road, Altrincham
A56 Dunham Road,   St Margarets Road, Altrincham
A56 Washway Road, South of Oakfield, Sale
A6144 Carrington Lane,   jct of Isherwood Road, Carrington
A6144 Manchester Road,   the Addison Road junction, Carrington
A6144 Marsland Road,   Lyme Grove, Sale
A579 Atherleigh Way, Jct Kirkhall Lane, Leigh
A579 Bolton Road, junction High Street, Atherton
A572 Manchester Road, East of Marsland Green Lane, Astley
A572 St Helens Road, North East of New Barn Lane, Leigh
A577 Atherton Road,   Hawthorn Avenue, Wigan
A577 Orrell Road, Heyes Road, Orrell, Wigan
A58 Bolton Road, Riding Lane, Wigan
A58 Liverpool Road, South of Longton Street, Wigan
B5206 Shevington Lane,   Shevington High School, Wigan
B5207 Bryn Road,   Industrial Estate,  Wigan
B5328 Whelley, North of St Stephen's Avenue, Wigan
